ROW_ID, WEB_HOST_NAME, WEB_AGENT_NAME, APPLICATION_ID, RESPONSIBILITY_ID, RESPONSIBILITY_KEY, LAST_UPDATE_DATE, LAST_UPDATED_BY, CREATION_DATE, CREATED_BY, LAST_UPDATE_LOGIN, DATA_GROUP_APPLICATION_ID, DATA_GROUP_ID, MENU_ID, START_DATE, END_DATE, GROUP_APPLICATION_ID, REQUEST_GROUP_ID, VERSION, RESPONSIBILITY_NAME, DESCRIPTION
AAA/M+AGKAAAFd8AAA,,,0,20419,APPLICATION_DEVELOPER,22.10.01,120,13.06.97,1,0,0,0,67846,01.01.51,,0,5,4,Application Developer,Application Object Library Application Developer
AAA/M+AGKAAAFd8AAB,,,1,20420,SYSTEM_ADMINISTRATOR,22.10.01,2,13.06.97,1,0,1,0,67860,01.01.51,,0,6,4,System Administrator,Application Object Library System Adminstrator
AAA/M+AGKAAAFd8AAC,,,279,20421,SALES_AND_MARKETING_SUPER_USER,13.03.01,2,13.06.97,1,0,279,0,67880,01.01.51,,279,215,4,Oracle Sales Administrator,Oracle Sales Administrator
AAA/M+AGKAAAFd8AAD,,,275,20432,PROJECT_BILLING_SUPER_USER,13.03.01,120,13.06.97,1,0,275,0,68262,01.01.51,,275,263,4,Project Billing Super User,Project Billing Administrator
AAA/M+AGKAAAFd8AAE,,,275,20433,PROJECT_COSTING_SUPER_USER,17.02.03,120,13.06.97,1,0,275,0,68263,01.01.51,,275,262,4,Project Costing Super User,Project Costing Administrator
AAA/M+AGKAAAFd8AAF,,,101,20434,GENERAL_LEDGER_SUPER_USER,13.03.01,2,13.08.97,1,0,101,0,67891,01.01.51,,101,111,4,General Ledger Super User,Super User responsibility for Oracle General Ledger
AAA/M+AGKAAAFd8AAG,,,704,20454,MATERIAL_PLANNER,13.03.01,2,13.06.97,1,0,704,0,67929,01.01.51,,700,96,4,Material Planner,Material Planning responsibility
AAA/M+AGKAAAFd8AAH,,,160,20456,ALERT_MANAGER,13.03.01,120,13.06.97,1,0,160,0,67937,01.01.51,,160,236,4,Alert Manager,Oracle Alert Manager for Forms 4.0
AAA/M+AGKAAAFd8AAI,,,800,20474,US_HRMS_MANAGER,16.11.01,120,06.03.99,1,0,800,0,69800,01.01.51,,800,121,4,US HRMS Manager,Oracle HRMS - full menu for US users
AAA/M+AGKAAAFd8AAJ,,,101,20475,GENERAL_LEDGER_USER,25.04.00,2,13.08.97,1,0,101,0,67944,01.01.51,,,,4,General Ledger User,User responsibility for Oracle General Ledger
AAA/M+AGKAAAFd8AAK,,,101,20476,GENERAL_LEDGER_SUPERVISOR,25.04.00,2,13.08.97,1,0,101,0,67948,01.01.51,,,,4,General Ledger Supervisor,Supervisor responsibility for Oracle General Ledger
AAA/M+AGKAAAFd8AAL,,,101,20477,GENERAL_LEDGER_BUDGET_SUPERVIS,25.04.00,2,13.08.97,1,0,101,0,67950,01.01.51,,,,4,General Ledger Budget Supervisor,Budget supervisor responsibility for Oracle General Ledger
AAA/M+AGKAAAFd8AAM,,,101,20478,GENERAL_LEDGER_BUDGET_USER,25.04.00,2,13.08.97,1,0,101,0,67953,01.01.51,,,,4,General Ledger Budget User,Budget user responsibility for Oracle General Ledger
AAA/M+AGKAAAFd8AAN,,,101,20479,GENERAL_LEDGER_CONTROLLER,25.04.00,2,13.08.97,1,0,101,0,67891,01.01.51,,,,4,General Ledger Controller,Controller responsibility for Oracle General Ledger
AAA/M+AGKAAAFd8AAO,,,800,20534,US_HR_MANAGER,25.04.00,120,09.07.99,1,0,800,0,69744,01.01.51,,800,171,4,US HR Manager,Oracle HR - menu for US HR users
AAA/M+AGKAAAFd8AAP,,,800,20535,US_PAYROLL_MANAGER,25.04.00,120,06.03.99,1,0,800,0,69853,01.01.51,,800,172,4,US Payroll Manager,Oracle Payroll - menu for US Payroll users
AAA/M+AGKAAAFd8AAQ,,,800,20536,UK_HRMS_MANAGER,25.04.00,120,06.03.99,1,0,800,0,70028,01.01.51,,800,167,4,UK HRMS Manager,Oracle HRMS - full menu for UK users
AAA/M+AGKAAAFd8AAR,,,800,20537,UK_HR_MANAGER,25.04.00,120,06.03.99,1,0,800,0,69997,01.01.51,,800,168,4,UK HR Manager,Oracle HR - menu for UK HR users
AAA/M+AGKAAAFd8AAS,,,800,20538,UK_PAYROLL_MANAGER,13.03.01,120,06.03.99,1,0,800,0,70081,01.01.51,,800,169,4,UK Payroll Manager,Oracle Payroll - menu for UK Payroll users
AAA/M+AGKAAAFd8AAT,,,401,20539,ORACLE_INVENTORY,25.04.00,2,13.06.97,1,0,401,0,67871,01.01.51,,401,58,4,Oracle Inventory,Oracle Inventory - GUI
AAA/M+AGKAAAFd8AAU,,,300,20559,ORDER_ENTRY_SUPER_USER,13.06.97,1,13.06.97,1,2145,300,0,67571,01.01.51,30.05.02,300,101,4,Order Entry Super User,Order Entry Super User
AAA/M+AGKAAAFd8AAV,,,706,20560,WORK_IN_PROCESS,13.03.01,2,13.06.97,1,0,706,0,67490,01.01.51,,,,4,Work in Process,Work in Process responsibility for 10SC
AAA/M+AGKAAAFd8AAW,,,250,20561,QUALITY,13.03.01,2,13.06.97,1,0,250,0,67518,01.01.51,,250,166,4,Quality,Oracle Quality
AAA/M+AGKAAAFd8AAX,,,702,20562,COST_MANAGEMENT,13.03.01,2,23.08.99,1,0,702,0,67551,01.01.51,,702,99,4,Cost Management,Oracle Cost Management System
AAA/M+AGKAAAFd8AAY,,,140,20563,FIXED_ASSETS_MANAGER,25.06.01,2,13.08.97,1,0,140,0,67545,01.01.51,,140,40,4,Fixed Assets Manager,Fixed Assets Manager
AAA/M+AGKAAAFd8AAZ,,,140,20564,FIXED_ASSETS_ADMINISTRATOR,25.04.00,120,13.08.97,1,0,140,0,67628,01.01.51,,,,4,Fixed Assets Administrator,Fixed Assets Administrator for Oracle Assets
AAA/M+AGKAAAFd8AAa,,,702,20566,BILLS_OF_MATERIAL,13.03.01,2,13.06.97,1,0,702,0,67580,01.01.51,,,,4,Bills of Material,Bills of Material Super user responsibility
AAA/M+AGKAAAFd8AAb,,,703,20567,ENGINEERING,13.03.01,2,13.06.97,1,0,703,0,67588,01.01.51,,,,4,Engineering,Engineering Superuser menu
AAA/M+AGKAAAFd8AAc,,,260,20604,CASH_MANAGEMENT,17.07.03,2,12.08.97,1,0,260,0,67616,01.01.51,,260,177,4,Cash Management Superuser,Oracle Cash Management Superuser
AAA/M+AGKAAAFd8AAd,,,705,20606,CAPACITY_PLANNER,13.03.01,2,13.06.97,1,0,705,0,67621,01.01.51,,705,59,4,Capacity Planner,Capacity Planning
AAA/M+AGKAAAFd8AAe,,,665,20607,SHIPPING,16.12.02,2,31.07.97,1,0,665,0,70737,01.01.51,01.01.52,,,4,Shipping,Shipping GUI
AAA/M+AGKAAAFd8AAf,,,279,20629,SALES_MANAGER,20.06.00,2,13.06.97,1,0,279,0,67879,01.01.51,,,,4,Sales Manager,Sales manager
AAA/M+AGKAAAFd8AAg,,,279,20630,TERRITORY_ADMINISTRATOR,20.06.00,2,13.06.97,1,0,279,0,67879,01.01.51,,279,282,4,Territory Administrator,Territory administrator
