USER_ID, RESPONSIBILITY_ID, RESPONSIBILITY_APPLICATION_ID, SECURITY_GROUP_ID, START_DATE, END_DATE, CREATED_BY, CREATION_DATE, LAST_UPDATED_BY, LAST_UPDATE_DATE, LAST_UPDATE_LOGIN, DESCRIPTION
1,21039,704,0,06.10.97,05.03.00,-1,27.10.04,-1,27.10.04,-1,
1,21595,7004,0,07.12.99,05.03.00,-1,27.10.04,-1,27.10.04,-1,
1,21609,725,0,06.05.99,05.03.00,-1,27.10.04,-1,27.10.04,-1,
1286,50714,401,0,30.09.15,03.04.19,1217,30.09.15,0,10.07.19,0,
1110,20604,260,0,01.01.00,,0,23.04.15,0,23.04.15,0,
1110,50270,260,0,01.01.00,,0,23.04.15,0,23.04.15,0,
1218,50722,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1235,50722,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1242,50717,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1249,50723,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1250,50723,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1254,50718,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1259,50717,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1259,50718,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1262,50717,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1263,50718,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1265,50717,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1272,50717,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1273,50717,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1219,50722,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1225,50723,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1227,50723,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1130,24178,800,0,29.04.15,,0,29.04.15,0,29.04.15,0,
1130,21615,0,0,29.04.15,,0,29.04.15,0,29.04.15,0,
1190,50723,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1191,50722,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1196,50722,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1197,50722,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1200,50717,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1201,50717,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1206,50723,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
1150,50660,401,0,03.05.15,,1150,03.05.15,1150,03.05.15,0,
1216,50718,800,0,10.05.15,,-1,14.05.15,-1,14.05.15,0,
